date,total_assets,domestic,dom_pl,dom_pl_rate,us,us_pl,us_pl_rate,trust,trust_pl,trust_pl_rate,cash,commodity,commo_pl,commo_pl_rate,crypto,margin,total_pl,total_pl_rate
2021/09/01,49501,0,,,0,,,0,,,0,0,,,0,0,,
2021/10/01,53426,0,,,0,,,0,,,0,0,,,0,0,,
2021/11/01,183333,0,,,0,,,0,,,0,0,,,0,0,,
2021/12/01,340566,0,,,0,,,0,,,0,0,,,0,0,,
2022/01/01,545683,0,,,0,,,0,,,0,0,,,0,0,,
2022/02/01,732105,0,,,0,,,0,,,0,0,,,0,0,,
2022/03/01,960714,0,,,0,,,0,,,0,0,,,0,0,,
2022/04/01,1022502,0,,,0,,,0,,,0,0,,,0,0,,
2022/05/01,1154610,0,,,0,,,0,,,0,0,,,0,0,,
2022/06/01,1270012,0,,,0,,,0,,,0,0,,,0,0,,
2022/07/01,1363996,0,,,0,,,0,,,0,0,,,0,0,,
2022/08/01,1365855,0,,,0,,,0,,,0,0,,,0,0,,
2022/09/01,1653917,0,,,0,,,0,,,0,0,,,0,0,,
2022/10/01,1508459,0,,,0,,,0,,,0,0,,,0,0,,
2022/11/01,1597123,0,,,0,,,0,,,0,0,,,0,0,,
2022/12/01,1562743,0,,,0,,,0,,,0,0,,,0,0,,
2023/01/01,1325330,0,,,0,,,0,,,0,0,,,0,0,,
2023/02/01,2204192,0,,,0,,,0,,,0,0,,,0,0,,
2023/03/01,1972551,0,,,0,,,0,,,0,0,,,0,0,,
2023/04/01,2109896,0,,,0,,,0,,,0,0,,,0,0,,
2023/05/01,2041059,0,,,0,,,0,,,0,0,,,0,0,,
2023/06/01,1856729,0,,,0,,,0,,,0,0,,,0,0,,
2023/07/01,2785034,0,,,0,,,0,,,0,0,,,0,0,,
2023/08/01,2700862,0,,,0,,,0,,,0,0,,,0,0,,
2023/09/01,2762520,0,,,0,,,0,,,0,0,,,0,0,,
2023/10/01,2815172,0,,,0,,,0,,,0,0,,,0,0,,
2023/11/01,2525715,0,,,0,,,0,,,0,0,,,0,0,,
2023/12/01,3407297,0,,,0,,,0,,,0,0,,,0,0,,
2024/01/01,3248970,0,,,0,,,0,,,0,0,,,0,0,,
2024/02/01,3133898,0,,,0,,,0,,,0,0,,,0,0,,
2024/03/01,2863523,0,,,0,,,0,,,0,0,,,0,0,,
2024/04/01,4040443,0,,,0,,,0,,,0,0,,,0,0,,
2024/05/01,4261974,0,,,0,,,0,,,0,0,,,0,0,,
2024/06/01,4432556,0,,,0,,,0,,,0,0,,,0,0,,
2024/07/01,4625815,0,,,0,,,0,,,0,0,,,0,0,,
2024/08/01,4586814,0,,,0,,,0,,,0,0,,,0,0,,
2024/09/01,4845248,0,,,0,,,0,,,0,0,,,0,0,,
2024/10/01,5206320,0,,,0,,,0,,,0,0,,,0,0,,
2024/11/01,6257849,0,,,0,,,0,,,0,0,,,0,0,,
2024/12/01,6756425,0,,,0,,,0,,,0,0,,,0,0,,
2025/01/01,6028785,0,,,0,,,0,,,0,0,,,0,0,,
2025/02/01,5432321,0,,,0,,,0,,,0,0,,,0,0,,
2025/03/01,5279031,0,,,0,,,0,,,0,0,,,0,0,,
2025/04/01,6134040,593020,,,2608640,,,2284987,,,672638,0,,,100000,0,,
2025/05/01,6697332,595442,,,3342219,,,2455029,,,189989,0,,,100000,0,,
2025/06/01,7203541,599761,,,3709955,,,2573485,,,14673,0,,,96060,0,,
2025/06/22,7047364,599249,,,3753901,,,2571606,,,26548,0,,,96060,0,,
2025/06/25,7404364,589372,,,3904547,,,2596054,,,218754,0,,,96060,0,,
2025/06/28,7372417,597604,,,3867213,,,2686586,,,124954,0,,,96060,0,,
2025/06/29,7372417,597604,,,3867213,,,2686586,,,124954,0,,,96060,0,,
2025/07/01,7372417,597604,,,3867213,,,2686586,,,124954,0,,,96060,0,,
2025/07/06,7451993,607604,,,3867213,,,2686586,,,124954,0,,,96060,0,,
2025/07/12,7732320,602937,,,3877194,,,2784858,,,365796,0,,,101535,0,,
2025/07/19,7947094,652643,,,4112281,,,2829703,,,227821,0,,,124646,0,,
2025/07/26,8063725,731838,,,3819274,,,2838259,,,544575,0,,,129779,0,,
2025/08/01,7835340,32563,,,3697078,,,2884798,,,400556,0,,,120345,0,,
2025/08/02,7835340,732563,,,3697078,,,2884798,,,400556,0,,,120345,0,,
2025/08/09,8176713,759075,,,4030723,,,2846086,,,400587,0,,,140242,0,,
2025/08/16,8358696,896695,,,3877190,,,2908591,,,521800,0,,,154420,0,,
2025/08/23,8388348,850239,,,3761287,,,2886746,,,723300,0,,,166776,0,,
2025/09/01,8398187,850239,,,3761287,,,2886746,,,723300,0,,,166776,0,,
2025/09/06,8398187,855622,,,3760510,,,2989739,,,641193,0,,,151123,0,,
2025/09/13,8753214,869729,,,4031306,,,3015672,,,671545,0,,,164962,0,,
2025/09/20,9066875,871247,,,4281841,,,3054281,,,702116,0,,,157390,0,,
2025/09/21,9317852,877539,,,4357421,,,3073283,,,867508,0,,,142101,0,,
2025/10/01,9317852,879312,,,4350199,,,3128205,,,655714,0,,,158309,0,,
2025/10/04,9131739,839312,,,4350199,,,3128205,,,655714,0,,,158309,0,,
2025/10/19,9252320,872876,,,4312846,,,3152845,,,774210,0,,,139543,0,,
2025/10/25,10048534,888861,,,4312280,,,3253470,,,1450875,0,,,143048,0,,
2025/11/01,10323979,944167,,,4509718,,,3322196,,,1406773,0,,,141125,0,,
2025/11/08,9678218,931986,,,3745170,,,3255106,,,1620519,0,,,125437,0,,
2025/11/15,9541064,1133014,,,3611681,,,3348077,,,1282809,0,,,165483,0,,
2025/11/24,9482700,1127920,,,3462231,,,3305255,,,1433337,0,,,153957,0,,
2025/12/07,10049701,1126501,,,3870782,,,3462096,,,1428566,0,,,161756,0,,
2025/12/14,10055635,1135957,,,3827377,,,3498504,,,1428145,0,,,165652,0,,
2025/12/20,10132906,1125902,,,3979904,,,3434003,,,1432152,0,,,160945,0,,
2025/12/27,10440403,1410866,,,3984122,,,3576229,,,1311605,0,,,157581,0,,
2026/01/10,10593739,1481196,,,3877124,,,3648614,,,1419996,0,,,166809,0,,
2026/01/17,10606764,1621369,,,3831644,,,3644418,,,1331776,0,,,177557,0,,
2026/01/24,10786616,1800702,,,3829347,,,3624655,,,1372998,0,,,158914,0,,
2026/01/31,10497183,1999952,,,3658906,,,3568896,,,1110515,0,,,158914,0,,
2026/02/07,10187048,1878244,,,3612052,,,3612052,,,925786,0,,,158914,0,,
2026/02/14,9787048,1948268,,,3536578,,,3483157,,,660131,0,,,158914,0,,
2026/02/21,10223839,2080385,,,3591365,,,3550295,,,842880,0,,,158914,0,,
2026/02/28,10525774,2289648,,,3575139,,,3645811,,,856262,0,,,158914,0,,
2026/03/07,10311631,2360040,,,3544960,,,3325905,,,1000726,0,,,80000,0,,
2026/03/20,9905743,2305295,,,3430024,,,3283576,,,806848,0,,,80000,0,,
2026/03/28,9435453,2407634,,,3284672,,,3150605,,,512542,0,,,80000,0,,
2026/04/04,9683921,1500746,,,3421228,,,3206999,,,120180,996502,,,100000,338266,,
2026/04/11,9773880,1450453,327532,29.2,3352242,519159,18.3,3323482,1165539,54.0,95497,1055728,-59999,-5.4,100000,396478,1952231,27.0
2026/04/16,10147233,1322406,303085,29.7,3666744,839705,29.7,3395177,1237235,57.3,50180,1099654,-16073,-1.4,100000,513072,2363952,33.2
2026/04/18,10274007,1411557,307456,27.8,3741245,919190,32.6,3442691,1284749,59.5,49178,1147220,-14682,-1.3,100000,382116,2496713,34.5
